registro_id,campanas_marketing,estacionalidad,tasa_interes_ofertada,indice_competencia,indice_macroeconomico,depositos_historicos_promedio,nuevos_clientes_mes,usuarios_activos_app,ingresos_mensuales_depositos
R0377,0,Marzo,4.35,7.5,129.6,495570,3137,16716,90148.4
R0378,2,Febrero,6.17,5.0,102.2,76986,3159,24228,59867.28
R0379,20,Enero,3.41,4.0,75.9,406238,4644,9006,92833.84
R0380,15,Febrero,5.67,7.6,106.6,16185,728,22537,34870.9
R0381,11,Agosto,4.27,8.8,123.6,106321,2630,12048,54546.08
R0382,3,Marzo,3.41,7.8,84.5,246635,1817,28613,54462.7
R0383,3,Mayo,2.91,10.0,98.1,93160,546,38293,36398.7
R0384,5,Mayo,6.46,5.6,122.6,458657,2315,44311,94015.86
R0385,4,Marzo,4.51,4.8,88.2,304600,3121,49226,75838.8
R0386,12,Diciembre,4.69,7.5,103.8,416206,4461,18222,88690.08
R0387,9,Diciembre,2.71,2.3,73.5,188937,1011,9829,45222.66
R0388,8,Marzo,4.57,9.0,114.7,367252,3032,41461,87584.46
R0389,14,Septiembre,6.71,9.7,99.7,58081,409,1492,30208.08
R0390,5,Agosto,6.35,6.5,97.5,62916,3135,17163,58269.18
R0391,10,Julio,4.8,6.2,71.6,371828,4080,41604,90248.44
R0392,16,Junio,6.16,7.2,117.2,43563,4583,21853,70795.94
R0393,20,Octubre,6.72,5.0,128.7,84711,871,35335,57186.38
R0394,9,Mayo,3.81,7.6,124.2,465489,3391,46445,93250.62
R0395,15,Septiembre,3.74,5.4,88.1,214311,873,40454,55726.08
R0396,2,Junio,5.95,2.7,121.3,300074,3690,27265,87449.42
R0397,12,Enero,5.02,5.6,120.7,66129,1222,11289,45829.02
R0398,12,Agosto,4.6,7.4,94.5,293430,848,4504,48871.6
R0399,17,Septiembre,3.05,9.3,89.7,342316,3192,17689,76066.98
R0400,9,Noviembre,4.49,1.1,112.1,206365,3709,6462,66759.8
R0401,9,Julio,4.8,6.9,95.4,131914,4776,22355,68937.62
R0402,12,Octubre,6.32,8.1,104.2,295646,3459,41948,84352.08
R0403,7,Noviembre,7.38,2.4,103.2,77745,2539,5187,52083.7
R0404,4,Enero,4.11,6.6,77.5,134183,923,11134,35825.84
R0405,13,Diciembre,3.11,7.6,79.1,282632,4660,17829,82848.26
R0406,20,Febrero,6.03,6.4,95.0,150747,3393,42348,70933.16
R0407,1,Marzo,7.4,9.2,110.5,351242,4871,40577,102665.46
R0408,9,Octubre,3.11,8.0,75.2,90153,1495,47670,40327.24
R0409,5,Diciembre,7.5,9.1,75.6,411183,852,35452,64982.24
R0410,11,Marzo,4.96,9.0,118.7,197715,235,42455,54043.7
R0411,12,Noviembre,3.66,6.4,94.8,83064,1796,8233,44726.02
R0412,7,Agosto,7.54,2.3,118.8,329844,860,30166,72934.32
R0413,3,Noviembre,2.84,2.3,93.0,301883,3632,16513,75537.54
R0414,12,Diciembre,3.08,5.1,118.1,232377,2083,11044,55977.36
R0415,6,Junio,6.51,2.0,91.2,411536,264,29320,67514.88
R0416,5,Abril,4.52,4.8,103.5,298442,4182,37502,90399.96
R0417,19,Febrero,4.52,3.4,75.7,193164,2217,47569,66288.82
R0418,18,Abril,2.46,1.1,92.5,61228,4349,2774,58447.44
R0419,11,Julio,6.14,6.2,102.0,184764,2733,6218,63899.52
R0420,17,Agosto,7.48,7.7,90.3,361243,319,46775,67143.94
R0421,3,Septiembre,5.21,2.3,118.9,52302,627,21139,39549.86
R0422,19,Diciembre,6.03,1.2,108.1,146888,3072,43554,81663.24
R0423,3,Abril,4.06,2.8,92.5,301558,3994,30214,85756.84
R0424,10,Septiembre,6.7,4.5,121.6,341483,3353,47731,96383.94
R0425,9,Septiembre,3.6,4.3,101.0,252137,1104,2305,44837.46
R0426,6,Agosto,7.93,5.9,92.3,344719,2132,9473,72184.42
R0427,3,Junio,2.12,9.4,112.2,158942,3229,21197,58469.46
R0428,1,Mayo,5.43,2.9,126.5,412429,1647,44541,87280.62
R0429,10,Junio,4.57,8.1,90.3,77729,4761,9011,59209.62
R0430,6,Enero,7.57,7.3,76.2,34864,909,20093,37979.02
R0431,1,Febrero,6.06,1.1,113.9,81593,3639,42909,69617.14
R0432,12,Diciembre,6.68,1.6,72.8,48026,56,36980,40327.08
R0433,10,Mayo,7.94,9.5,76.1,171780,2768,22730,66052.4
R0434,15,Diciembre,5.83,8.2,127.4,362367,3971,48905,95702.86
R0435,0,Noviembre,5.01,3.3,123.3,259810,498,12457,45100.9
R0436,8,Febrero,5.1,2.1,112.3,213335,1828,36780,64538.8
R0437,4,Octubre,7.64,9.9,87.4,63550,1513,37999,51884.7
R0438,13,Enero,7.08,5.9,121.4,392098,2365,39135,93140.34
R0439,14,Diciembre,7.11,10.0,106.5,286768,4779,19737,86386.54
R0440,0,Diciembre,6.57,7.2,107.9,45373,1854,34338,50481.24
R0441,7,Mayo,4.31,3.1,79.8,254984,4891,17788,83284.12
R0442,14,Mayo,6.63,4.5,82.7,192357,2236,42746,72665.36
R0443,18,Noviembre,5.52,4.6,80.7,386638,2426,13341,71377.34
R0444,17,Octubre,1.65,7.9,73.3,477447,4984,45157,97937.86
R0445,0,Diciembre,2.31,3.2,97.5,151777,2233,26910,49595.16
R0446,10,Enero,7.31,8.7,79.3,102414,4359,1221,64464.42
R0447,13,Junio,6.22,3.6,127.2,299733,129,1653,48636.54
R0448,11,Marzo,3.66,2.9,97.5,235881,2601,6098,62554.88
R0449,5,Septiembre,3.84,8.8,118.3,95703,313,26081,37474.54
R0450,12,Febrero,1.95,5.0,115.1,10185,2572,47627,50882.9
R0451,19,Diciembre,7.17,4.3,90.2,298364,3667,13231,80782.42
R0452,12,Mayo,6.89,5.1,91.2,310946,2522,13710,76729.68
R0453,17,Marzo,6.33,3.4,120.0,424668,912,23748,76644.84
R0454,5,Julio,6.22,8.0,84.1,35766,4152,36067,63590.38
R0455,2,Mayo,2.22,1.9,107.5,130066,544,4292,32145.88
R0456,3,Febrero,2.98,8.7,124.1,256322,1721,33762,58717.36
R0457,14,Noviembre,6.34,1.0,122.5,54290,1455,5703,47167.1
R0458,15,Junio,3.74,9.7,70.1,228504,1949,17996,53231.12
R0459,19,Enero,2.8,1.0,85.5,124112,1108,45229,48750.66
R0460,5,Enero,4.03,4.2,123.5,311317,1821,23453,70081.26
R0461,17,Febrero,1.51,1.0,103.3,205288,1202,16436,49563.84
R0462,6,Noviembre,5.89,9.8,102.8,367223,1982,4287,65550.94
R0463,0,Agosto,5.88,6.0,99.4,269205,3250,39577,76378.5
R0464,6,Febrero,5.35,8.3,76.1,58054,2255,21777,44059.42
R0465,8,Octubre,6.54,1.3,75.6,88961,704,4799,36708.58
R0466,12,Agosto,6.31,1.7,105.6,416501,3114,23725,90573.58
R0467,4,Diciembre,1.54,3.0,98.2,163644,2190,18163,50952.42
R0468,7,Julio,1.99,8.5,125.0,343675,248,16306,48758.8
R0469,15,Febrero,5.56,6.4,117.8,91940,931,2674,36512.4
R0470,17,Diciembre,7.36,1.6,87.1,219047,1814,27133,65735.66
R0471,5,Febrero,6.71,9.9,122.2,473430,4146,3549,90768.1
R0472,9,Febrero,6.62,9.4,84.9,283419,1320,3378,48165.92
R0473,19,Febrero,6.98,8.6,87.3,352089,2364,13508,75440.52
R0474,18,Octubre,3.73,2.3,124.1,176551,1568,34154,60362.28
R0475,7,Noviembre,6.48,5.2,78.4,45426,2778,2303,44999.98
R0476,20,Agosto,1.65,3.3,81.1,44591,3314,24285,51198.78
R0477,19,Diciembre,5.76,4.3,122.5,307055,3098,11146,79647.2
R0478,9,Noviembre,2.62,6.0,129.8,410684,2508,44383,86125.62
R0479,11,Agosto,3.35,8.8,90.5,499842,1447,3074,62111.56
R0480,9,Mayo,5.13,9.9,80.6,292313,2279,42289,72373.74
R0481,14,Diciembre,1.55,7.4,114.7,83227,522,30107,34869.26
R0482,10,Julio,2.26,4.5,81.3,59194,2992,5711,41056.82
R0483,16,Abril,5.56,5.6,127.9,412108,2396,15003,82541.54
R0484,9,Junio,3.6,7.8,112.4,250537,1252,25799,57232.66
R0485,8,Agosto,7.78,7.0,83.9,379589,3998,39192,92218.72
R0486,12,Mayo,2.27,1.4,123.9,220312,2508,24397,70798.06
R0487,15,Abril,4.54,6.6,121.3,267616,86,47724,63217.48
R0488,6,Marzo,3.8,7.6,80.2,248463,2120,13666,56041.84
R0489,12,Agosto,4.31,2.3,82.9,141674,1911,24057,55997.02
R0490,4,Marzo,7.72,7.6,126.0,199830,4348,30579,89003.1
R0491,7,Julio,3.52,8.5,110.4,448501,4325,19033,94414.98
R0492,6,Octubre,7.91,7.7,70.2,170617,4447,47958,77918.76
R0493,9,Febrero,4.96,1.3,111.0,29919,1699,6735,39465.02
R0494,18,Mayo,3.97,4.5,98.4,391280,703,36198,72533.8
R0495,13,Abril,2.67,8.0,96.4,233985,1907,32915,62471.3
R0496,16,Junio,6.44,8.3,85.6,394501,764,21519,59865.78
R0497,14,Septiembre,6.83,7.6,89.8,59070,1405,4876,35806.4
R0498,3,Octubre,3.54,9.3,70.6,241043,2236,28675,56356.94
R0499,3,Enero,7.56,6.7,79.5,86857,592,21121,35324.86
R0500,17,Octubre,3.27,5.4,92.2,61054,3184,25040,56590.32
